no,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,affair_binary
4,0,male,37,10,no,3,18,7,4,0
5,0,female,27,4,no,4,14,6,4,0
11,0,female,32,15,yes,1,12,1,4,0
16,0,male,57,15,yes,5,18,6,5,0
23,0,male,22,0.75,no,2,17,6,3,0
29,0,female,32,1.5,no,2,17,5,5,0
44,0,female,22,0.75,no,2,12,1,3,0
45,0,male,57,15,yes,2,14,4,4,0
47,0,female,32,15,yes,4,16,1,2,0
49,0,male,22,1.5,no,4,14,4,5,0
50,0,male,37,15,yes,2,20,7,2,0
55,0,male,27,4,yes,4,18,6,4,0
64,0,male,47,15,yes,5,17,6,4,0
80,0,female,22,1.5,no,2,17,5,4,0
86,0,female,27,4,no,4,14,5,4,0
93,0,female,37,15,yes,1,17,5,5,0
108,0,female,37,15,yes,2,18,4,3,0
114,0,female,22,0.75,no,3,16,5,4,0
115,0,female,22,1.5,no,2,16,5,5,0
116,0,female,27,10,yes,2,14,1,5,0
123,0,female,22,1.5,no,2,16,5,5,0
127,0,female,22,1.5,no,2,16,5,5,0
129,0,female,27,10,yes,4,16,5,4,0
134,0,female,32,10,yes,3,14,1,5,0
137,0,male,37,4,yes,2,20,6,4,0
139,0,female,22,1.5,no,2,18,5,5,0
147,0,female,27,7,no,4,16,1,5,0
151,0,male,42,15,yes,5,20,6,4,0
153,0,male,27,4,yes,3,16,5,5,0
155,0,female,27,4,yes,3,17,5,4,0
162,0,male,42,15,yes,4,20,6,3,0
163,0,female,22,1.5,no,3,16,5,5,0
165,0,male,27,0.417,no,4,17,6,4,0
168,0,female,42,15,yes,5,14,5,4,0
170,0,male,32,4,yes,1,18,6,4,0
172,0,female,22,1.5,no,4,16,5,3,0
184,0,female,42,15,yes,3,12,1,4,0
187,0,female,22,4,no,4,17,5,5,0
192,0,male,22,1.5,yes,1,14,3,5,0
194,0,female,22,0.75,no,3,16,1,5,0
210,0,male,32,10,yes,5,20,6,5,0
217,0,male,52,15,yes,5,18,6,3,0
220,0,female,22,0.417,no,5,14,1,4,0
224,0,female,27,4,yes,2,18,6,1,0
227,0,female,32,7,yes,5,17,5,3,0
228,0,male,22,4,no,3,16,5,5,0
239,0,female,27,7,yes,4,18,6,5,0
241,0,female,42,15,yes,2,18,5,4,0
245,0,male,27,1.5,yes,4,16,3,5,0
249,0,male,42,15,yes,2,20,6,4,0
262,0,female,22,0.75,no,5,14,3,5,0
265,0,male,32,7,yes,2,20,6,4,0
267,0,male,27,4,yes,5,20,6,5,0
269,0,male,27,10,yes,4,20,6,4,0
271,0,male,22,4,no,1,18,5,5,0
277,0,female,37,15,yes,4,14,3,1,0
290,0,male,22,1.5,yes,5,16,4,4,0
292,0,female,37,15,yes,4,17,1,5,0
293,0,female,27,0.75,no,4,17,5,4,0
295,0,male,32,10,yes,4,20,6,4,0
299,0,female,47,15,yes,5,14,7,2,0
320,0,male,37,10,yes,3,20,6,4,0
321,0,female,22,0.75,no,2,16,5,5,0
324,0,male,27,4,no,2,18,4,5,0
334,0,male,32,7,no,4,20,6,4,0
351,0,male,42,15,yes,2,17,3,5,0
355,0,male,37,10,yes,4,20,6,4,0
361,0,female,47,15,yes,3,17,6,5,0
362,0,female,22,1.5,no,5,16,5,5,0
366,0,female,27,1.5,no,2,16,6,4,0
370,0,female,27,4,no,3,17,5,5,0
374,0,female,32,10,yes,5,14,4,5,0
378,0,female,22,0.125,no,2,12,5,5,0
381,0,male,47,15,yes,4,14,4,3,0
382,0,male,32,15,yes,1,14,5,5,0
383,0,male,27,7,yes,4,16,5,5,0
384,0,female,22,1.5,yes,3,16,5,5,0
400,0,male,27,4,yes,3,17,6,5,0
403,0,female,22,1.5,no,3,16,5,5,0
409,0,male,57,15,yes,2,14,7,2,0
412,0,male,17.5,1.5,yes,3,18,6,5,0
413,0,male,57,15,yes,4,20,6,5,0
416,0,female,22,0.75,no,2,16,3,4,0
418,0,male,42,4,no,4,17,3,3,0
422,0,female,22,1.5,yes,4,12,1,5,0
435,0,female,22,0.417,no,1,17,6,4,0
439,0,female,32,15,yes,4,17,5,5,0
445,0,female,27,1.5,no,3,18,5,2,0
447,0,female,22,1.5,yes,3,14,1,5,0
448,0,female,37,15,yes,3,14,1,4,0
449,0,female,32,15,yes,4,14,3,4,0
478,0,male,37,10,yes,2,14,5,3,0
482,0,male,37,10,yes,4,16,5,4,0
486,0,male,57,15,yes,5,20,5,3,0
489,0,male,27,0.417,no,1,16,3,4,0
490,0,female,42,15,yes,5,14,1,5,0
491,0,male,57,15,yes,3,16,6,1,0
492,0,male,37,10,yes,1,16,6,4,0
503,0,male,37,15,yes,3,17,5,5,0
508,0,male,37,15,yes,4,20,6,5,0
509,0,female,27,10,yes,5,14,1,5,0
512,0,male,37,10,yes,2,18,6,4,0
515,0,female,22,0.125,no,4,12,4,5,0
517,0,male,57,15,yes,5,20,6,5,0
532,0,female,37,15,yes,4,18,6,4,0
533,0,male,22,4,yes,4,14,6,4,0
535,0,male,27,7,yes,4,18,5,4,0
537,0,male,57,15,yes,4,20,5,4,0
538,0,male,32,15,yes,3,14,6,3,0
543,0,female,22,1.5,no,2,14,5,4,0
547,0,female,32,7,yes,4,17,1,5,0
550,0,female,37,15,yes,4,17,6,5,0
558,0,female,32,1.5,no,5,18,5,5,0
571,0,male,42,10,yes,5,20,7,4,0
578,0,female,27,7,no,3,16,5,4,0
583,0,male,37,15,no,4,20,6,5,0
586,0,male,37,15,yes,4,14,3,2,0
594,0,male,32,10,no,5,18,6,4,0
597,0,female,22,0.75,no,4,16,1,5,0
602,0,female,27,7,yes,4,12,2,4,0
603,0,female,27,7,yes,2,16,2,5,0
604,0,female,42,15,yes,5,18,5,4,0
612,0,male,42,15,yes,4,17,5,3,0
613,0,female,27,7,yes,2,16,1,2,0
621,0,female,22,1.5,no,3,16,5,5,0
627,0,male,37,15,yes,5,20,6,5,0
630,0,female,22,0.125,no,2,14,4,5,0
631,0,male,27,1.5,no,4,16,5,5,0
632,0,male,32,1.5,no,2,18,6,5,0
639,0,male,27,1.5,no,2,17,6,5,0
645,0,female,27,10,yes,4,16,1,3,0
647,0,male,42,15,yes,4,18,6,5,0
648,0,female,27,1.5,no,2,16,6,5,0
651,0,male,27,4,no,2,18,6,3,0
655,0,female,32,10,yes,3,14,5,3,0
667,0,female,32,15,yes,3,18,5,4,0
670,0,female,22,0.75,no,2,18,6,5,0
671,0,female,37,15,yes,2,16,1,4,0
673,0,male,27,4,yes,4,20,5,5,0
701,0,male,27,4,no,1,20,5,4,0
705,0,female,27,10,yes,2,12,1,4,0
706,0,female,32,15,yes,5,18,6,4,0
709,0,male,27,7,yes,5,12,5,3,0
717,0,male,52,15,yes,2,18,5,4,0
719,0,male,27,4,no,3,20,6,3,0
723,0,male,37,4,yes,1,18,5,4,0
724,0,male,27,4,yes,4,14,5,4,0
726,0,female,52,15,yes,5,12,1,3,0
734,0,female,57,15,yes,4,16,6,4,0
735,0,male,27,7,yes,1,16,5,4,0
736,0,male,37,7,yes,4,20,6,3,0
737,0,male,22,0.75,no,2,14,4,3,0
739,0,male,32,4,yes,2,18,5,3,0
743,0,male,37,15,yes,4,20,6,3,0
745,0,male,22,0.75,yes,2,14,4,3,0
747,0,male,42,15,yes,4,20,6,3,0
751,0,female,52,15,yes,5,17,1,1,0
752,0,female,37,15,yes,4,14,1,2,0
754,0,male,27,7,yes,4,14,5,3,0
760,0,male,32,4,yes,2,16,5,5,0
763,0,female,27,4,yes,2,18,6,5,0
774,0,female,27,4,yes,2,18,5,5,0
776,0,male,37,15,yes,5,18,6,5,0
779,0,female,47,15,yes,5,12,5,4,0
784,0,female,32,10,yes,3,17,1,4,0
788,0,female,27,1.5,yes,4,17,1,2,0
794,0,female,57,15,yes,2,18,5,2,0
795,0,female,22,1.5,no,4,14,5,4,0
798,0,male,42,15,yes,3,14,3,4,0
800,0,male,57,15,yes,4,9,2,2,0
803,0,male,57,15,yes,4,20,6,5,0
807,0,female,22,0.125,no,4,14,4,5,0
812,0,female,32,10,yes,4,14,1,5,0
820,0,female,42,15,yes,3,18,5,4,0
823,0,female,27,1.5,no,2,18,6,5,0
830,0,male,32,0.125,yes,2,18,5,2,0
843,0,female,27,4,no,3,16,5,4,0
848,0,female,27,10,yes,2,16,1,4,0
851,0,female,32,7,yes,4,16,1,3,0
854,0,female,37,15,yes,4,14,5,4,0
856,0,female,42,15,yes,5,17,6,2,0
857,0,male,32,1.5,yes,4,14,6,5,0
859,0,female,32,4,yes,3,17,5,3,0
863,0,female,37,7,no,4,18,5,5,0
865,0,female,22,0.417,yes,3,14,3,5,0
867,0,female,27,7,yes,4,14,1,5,0
870,0,male,27,0.75,no,3,16,5,5,0
873,0,male,27,4,yes,2,20,5,5,0
875,0,male,32,10,yes,4,16,4,5,0
876,0,male,32,15,yes,1,14,5,5,0
877,0,male,22,0.75,no,3,17,4,5,0
880,0,female,27,7,yes,4,17,1,4,0
903,0,male,27,0.417,yes,4,20,5,4,0
904,0,male,37,15,yes,4,20,5,4,0
905,0,female,37,15,yes,2,14,1,3,0
908,0,male,22,4,yes,1,18,5,4,0
909,0,male,37,15,yes,4,17,5,3,0
910,0,female,22,1.5,no,2,14,4,5,0
912,0,male,52,15,yes,4,14,6,2,0
914,0,female,22,1.5,no,4,17,5,5,0
915,0,male,32,4,yes,5,14,3,5,0
916,0,male,32,4,yes,2,14,3,5,0
920,0,female,22,1.5,no,3,16,6,5,0
921,0,male,27,0.75,no,2,18,3,3,0
925,0,female,22,7,yes,2,14,5,2,0
926,0,female,27,0.75,no,2,17,5,3,0
929,0,female,37,15,yes,4,12,1,2,0
931,0,female,22,1.5,no,1,14,1,5,0
945,0,female,37,10,no,2,12,4,4,0
947,0,female,37,15,yes,4,18,5,3,0
949,0,female,42,15,yes,3,12,3,3,0
950,0,male,22,4,no,2,18,5,5,0
961,0,male,52,7,yes,2,20,6,2,0
965,0,male,27,0.75,no,2,17,5,5,0
966,0,female,27,4,no,2,17,4,5,0
967,0,male,42,1.5,no,5,20,6,5,0
987,0,male,22,1.5,no,4,17,6,5,0
990,0,male,22,4,no,4,17,5,3,0
992,0,female,22,4,yes,1,14,5,4,0
995,0,male,37,15,yes,5,20,4,5,0
1009,0,female,37,10,yes,3,16,6,3,0
1021,0,male,42,15,yes,4,17,6,5,0
1026,0,female,47,15,yes,4,17,5,5,0
1027,0,male,22,1.5,no,4,16,5,4,0
1030,0,female,32,10,yes,3,12,1,4,0
1031,0,female,22,7,yes,1,14,3,5,0
1034,0,female,32,10,yes,4,17,5,4,0
1037,0,male,27,1.5,yes,2,16,2,4,0
1038,0,male,37,15,yes,4,14,5,5,0
1039,0,male,42,4,yes,3,14,4,5,0
1045,0,female,37,15,yes,5,14,5,4,0
1046,0,female,32,7,yes,4,17,5,5,0
1054,0,female,42,15,yes,4,18,6,5,0
1059,0,male,27,4,no,4,18,6,4,0
1063,0,male,22,0.75,no,4,18,6,5,0
1068,0,male,27,4,yes,4,14,5,3,0
1070,0,female,22,0.75,no,5,18,1,5,0
1072,0,female,52,15,yes,5,9,5,5,0
1073,0,male,32,10,yes,3,14,5,5,0
1077,0,female,37,15,yes,4,16,4,4,0
1081,0,male,32,7,yes,2,20,5,4,0
1083,0,female,42,15,yes,3,18,1,4,0
1084,0,male,32,15,yes,1,16,5,5,0
1086,0,male,27,4,yes,3,18,5,5,0
1087,0,female,32,15,yes,4,12,3,4,0
1089,0,male,22,0.75,yes,3,14,2,4,0
1096,0,female,22,1.5,no,3,16,5,3,0
1102,0,female,42,15,yes,4,14,3,5,0
1103,0,female,52,15,yes,3,16,5,4,0
1107,0,male,37,15,yes,5,20,6,4,0
1109,0,female,47,15,yes,4,12,2,3,0
1115,0,male,57,15,yes,2,20,6,4,0
1119,0,male,32,7,yes,4,17,5,5,0
1124,0,female,27,7,yes,4,17,1,4,0
1126,0,male,22,1.5,no,1,18,6,5,0
1128,0,female,22,4,yes,3,9,1,4,0
1129,0,female,22,1.5,no,2,14,1,5,0
1130,0,male,42,15,yes,2,20,6,4,0
1133,0,male,57,15,yes,4,9,2,4,0
1140,0,female,27,7,yes,2,18,1,5,0
1143,0,female,22,4,yes,3,14,1,5,0
1146,0,male,37,15,yes,4,14,5,3,0
1153,0,male,32,7,yes,1,18,6,4,0
1156,0,female,22,1.5,no,2,14,5,5,0
1157,0,female,22,1.5,yes,3,12,1,3,0
1158,0,male,52,15,yes,2,14,5,5,0
1160,0,female,37,15,yes,2,14,1,1,0
1161,0,female,32,10,yes,2,14,5,5,0
1166,0,male,42,15,yes,4,20,4,5,0
1177,0,female,27,4,yes,3,18,4,5,0
1178,0,male,37,15,yes,4,20,6,5,0
1180,0,male,27,1.5,no,3,18,5,5,0
1187,0,female,22,0.125,no,2,16,6,3,0
1191,0,male,32,10,yes,2,20,6,3,0
1195,0,female,27,4,no,4,18,5,4,0
1207,0,female,27,7,yes,2,12,5,1,0
1208,0,male,32,4,yes,5,18,6,3,0
1209,0,female,37,15,yes,2,17,5,5,0
1211,0,male,47,15,no,4,20,6,4,0
1215,0,male,27,1.5,no,1,18,5,5,0
1221,0,male,37,15,yes,4,20,6,4,0
1226,0,female,32,15,yes,4,18,1,4,0
1229,0,female,32,7,yes,4,17,5,4,0
1231,0,female,42,15,yes,3,14,1,3,0
1234,0,female,27,7,yes,3,16,1,4,0
1235,0,male,27,1.5,no,3,16,4,2,0
1242,0,male,22,1.5,no,3,16,3,5,0
1245,0,male,27,4,yes,3,16,4,2,0
1260,0,female,27,7,yes,3,12,1,2,0
1266,0,female,37,15,yes,2,18,5,4,0
1271,0,female,37,7,yes,3,14,4,4,0
1273,0,male,22,1.5,no,2,16,5,5,0
1276,0,male,37,15,yes,5,20,5,4,0
1280,0,female,22,1.5,no,4,16,5,3,0
1282,0,female,32,10,yes,4,16,1,5,0
1285,0,male,27,4,no,2,17,5,3,0
1295,0,female,22,0.417,no,4,14,5,5,0
1298,0,female,27,4,no,2,18,5,5,0
1299,0,male,37,15,yes,4,18,5,3,0
1304,0,male,37,10,yes,5,20,7,4,0
1305,0,female,27,7,yes,2,14,4,2,0
