no,affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,affair_binary
1311,0,male,32,4,yes,2,16,5,5,0
1314,0,male,32,4,yes,2,16,6,4,0
1319,0,male,22,1.5,no,3,18,4,5,0
1322,0,female,22,4,yes,4,14,3,4,0
1324,0,female,17.5,0.75,no,2,18,5,4,0
1327,0,male,32,10,yes,4,20,4,5,0
1328,0,female,32,0.75,no,5,14,3,3,0
1330,0,male,37,15,yes,4,17,5,3,0
1332,0,male,32,4,no,3,14,4,5,0
1333,0,female,27,1.5,no,2,17,3,2,0
1336,0,female,22,7,yes,4,14,1,5,0
1341,0,male,47,15,yes,5,14,6,5,0
1344,0,male,27,4,yes,1,16,4,4,0
1352,0,female,37,15,yes,5,14,1,3,0
1358,0,male,42,4,yes,4,18,5,5,0
1359,0,female,32,4,yes,2,14,1,5,0
1361,0,male,52,15,yes,2,14,7,4,0
1364,0,female,22,1.5,no,2,16,1,4,0
1368,0,male,52,15,yes,4,12,2,4,0
1384,0,female,22,0.417,no,3,17,1,5,0
1390,0,female,22,1.5,no,2,16,5,5,0
1393,0,male,27,4,yes,4,20,6,4,0
1394,0,female,32,15,yes,4,14,1,5,0
1402,0,female,27,1.5,no,2,16,3,5,0
1407,0,male,32,4,no,1,20,6,5,0
1408,0,male,37,15,yes,3,20,6,4,0
1412,0,female,32,10,no,2,16,6,5,0
1413,0,female,32,10,yes,5,14,5,5,0
1416,0,male,37,1.5,yes,4,18,5,3,0
1417,0,male,32,1.5,no,2,18,4,4,0
1418,0,female,32,10,yes,4,14,1,4,0
1419,0,female,47,15,yes,4,18,5,4,0
1420,0,female,27,10,yes,5,12,1,5,0
1423,0,male,27,4,yes,3,16,4,5,0
1424,0,female,37,15,yes,4,12,4,2,0
1432,0,female,27,0.75,no,4,16,5,5,0
1433,0,female,37,15,yes,4,16,1,5,0
1437,0,female,32,15,yes,3,16,1,5,0
1438,0,female,27,10,yes,2,16,1,5,0
1439,0,male,27,7,no,2,20,6,5,0
1446,0,female,37,15,yes,2,14,1,3,0
1450,0,male,27,1.5,yes,2,17,4,4,0
1451,0,female,22,0.75,yes,2,14,1,5,0
1452,0,male,22,4,yes,4,14,2,4,0
1453,0,male,42,0.125,no,4,17,6,4,0
1456,0,male,27,1.5,yes,4,18,6,5,0
1464,0,male,27,7,yes,3,16,6,3,0
1469,0,female,52,15,yes,4,14,1,3,0
1473,0,male,27,1.5,no,5,20,5,2,0
1481,0,female,27,1.5,no,2,16,5,5,0
1482,0,female,27,1.5,no,3,17,5,5,0
1496,0,male,22,0.125,no,5,16,4,4,0
1497,0,female,27,4,yes,4,16,1,5,0
1504,0,female,27,4,yes,4,12,1,5,0
1513,0,female,47,15,yes,2,14,5,5,0
1515,0,female,32,15,yes,3,14,5,3,0
1534,0,male,42,7,yes,2,16,5,5,0
1535,0,male,22,0.75,no,4,16,6,4,0
1536,0,male,27,0.125,no,3,20,6,5,0
1540,0,male,32,10,yes,3,20,6,5,0
1551,0,female,22,0.417,no,5,14,4,5,0
1555,0,female,47,15,yes,5,14,1,4,0
1557,0,female,32,10,yes,3,14,1,5,0
1566,0,male,57,15,yes,4,17,5,5,0
1567,0,male,27,4,yes,3,20,6,5,0
1576,0,female,32,7,yes,4,17,1,5,0
1584,0,female,37,10,yes,4,16,1,5,0
1585,0,female,32,10,yes,1,18,1,4,0
1590,0,female,22,4,no,3,14,1,4,0
1594,0,female,27,7,yes,4,14,3,2,0
1595,0,male,57,15,yes,5,18,5,2,0
1603,0,male,32,7,yes,2,18,5,5,0
1608,0,female,27,1.5,no,4,17,1,3,0
1609,0,male,22,1.5,no,4,14,5,5,0
1615,0,female,22,1.5,yes,4,14,5,4,0
1616,0,female,32,7,yes,3,16,1,5,0
1617,0,female,47,15,yes,3,16,5,4,0
1620,0,female,22,0.75,no,3,16,1,5,0
1621,0,female,22,1.5,yes,2,14,5,5,0
1637,0,female,27,4,yes,1,16,5,5,0
1638,0,male,52,15,yes,4,16,5,5,0
1650,0,male,32,10,yes,4,20,6,5,0
1654,0,male,47,15,yes,4,16,6,4,0
1665,0,female,27,7,yes,2,14,1,2,0
1670,0,female,22,1.5,no,4,14,4,5,0
1671,0,female,32,10,yes,2,16,5,4,0
1675,0,female,22,0.75,no,2,16,5,4,0
1688,0,female,22,1.5,no,2,16,5,5,0
1691,0,female,42,15,yes,3,18,6,4,0
1695,0,female,27,7,yes,5,14,4,5,0
1698,0,male,42,15,yes,4,16,4,4,0
1704,0,female,57,15,yes,3,18,5,2,0
1705,0,male,42,15,yes,3,18,6,2,0
1711,0,female,32,7,yes,2,14,1,2,0
1719,0,male,22,4,no,5,12,4,5,0
1723,0,female,22,1.5,no,1,16,6,5,0
1726,0,female,22,0.75,no,1,14,4,5,0
1749,0,female,32,15,yes,4,12,1,5,0
1752,0,male,22,1.5,no,2,18,5,3,0
1754,0,male,27,4,yes,5,17,2,5,0
1758,0,female,27,4,yes,4,12,1,5,0
1761,0,male,42,15,yes,5,18,5,4,0
1773,0,male,32,1.5,no,2,20,7,3,0
1775,0,male,57,15,no,4,9,3,1,0
1786,0,male,37,7,no,4,18,5,5,0
1793,0,male,52,15,yes,2,17,5,4,0
1799,0,male,47,15,yes,4,17,6,5,0
1803,0,female,27,7,no,2,17,5,4,0
1806,0,female,27,7,yes,4,14,5,5,0
1807,0,female,22,4,no,2,14,3,3,0
1808,0,male,37,7,yes,2,20,6,5,0
1814,0,male,27,7,no,4,12,4,3,0
1815,0,male,42,10,yes,4,18,6,4,0
1818,0,female,22,1.5,no,3,14,1,5,0
1827,0,female,22,4,yes,2,14,1,3,0
1834,0,female,57,15,no,4,20,6,5,0
1835,0,male,37,15,yes,4,14,4,3,0
1843,0,female,27,7,yes,3,18,5,5,0
1846,0,female,17.5,10,no,4,14,4,5,0
1850,0,male,22,4,yes,4,16,5,5,0
1851,0,female,27,4,yes,2,16,1,4,0
1854,0,female,37,15,yes,2,14,5,1,0
1859,0,female,22,1.5,no,5,14,1,4,0
1861,0,male,27,7,yes,2,20,5,4,0
1866,0,male,27,4,yes,4,14,5,5,0
1873,0,male,22,0.125,no,1,16,3,5,0
1875,0,female,27,7,yes,4,14,1,4,0
1885,0,female,32,15,yes,5,16,5,3,0
1892,0,male,32,10,yes,4,18,5,4,0
1895,0,female,32,15,yes,2,14,3,4,0
1896,0,female,22,1.5,no,3,17,5,5,0
1897,0,male,27,4,yes,4,17,4,4,0
1899,0,female,52,15,yes,5,14,1,5,0
1904,0,female,27,7,yes,2,12,1,2,0
1905,0,female,27,7,yes,3,12,1,4,0
1908,0,female,42,15,yes,2,14,1,4,0
1916,0,female,42,15,yes,4,14,5,4,0
1918,0,male,27,7,yes,4,14,3,3,0
1920,0,male,27,7,yes,2,20,6,2,0
1930,0,female,42,15,yes,3,12,3,3,0
1940,0,male,27,4,yes,3,16,3,5,0
1947,0,female,27,7,yes,3,14,1,4,0
1949,0,female,22,1.5,no,2,14,4,5,0
1951,0,female,27,4,yes,4,14,1,4,0
1952,0,female,22,4,no,4,14,5,5,0
1960,0,female,22,1.5,no,2,16,4,5,0
9001,0,male,47,15,no,4,14,5,4,0
9012,0,male,37,10,yes,2,18,6,2,0
9023,0,male,37,15,yes,3,17,5,4,0
9029,0,female,27,4,yes,2,16,1,4,0
6,3,male,27,1.5,no,3,18,4,4,1
12,3,female,27,4,yes,3,17,1,5,1
43,7,male,37,15,yes,5,18,6,2,1
53,12,female,32,10,yes,3,17,5,2,1
67,1,male,22,0.125,no,4,16,5,5,1
79,1,female,22,1.5,yes,2,14,1,5,1
122,12,male,37,15,yes,4,14,5,2,1
126,7,female,22,1.5,no,2,14,3,4,1
133,2,male,37,15,yes,2,18,6,4,1
138,3,female,32,15,yes,4,12,3,2,1
154,1,female,37,15,yes,4,14,4,2,1
159,7,female,42,15,yes,3,17,1,4,1
174,12,female,42,15,yes,5,9,4,1,1
176,12,male,37,10,yes,2,20,6,2,1
181,12,female,32,15,yes,3,14,1,2,1
182,3,male,27,4,no,1,18,6,5,1
186,7,male,37,10,yes,2,18,7,3,1
189,7,female,27,4,no,3,17,5,5,1
204,1,male,42,15,yes,4,16,5,5,1
215,1,female,47,15,yes,5,14,4,5,1
232,7,female,27,4,yes,3,18,5,4,1
233,1,female,27,7,yes,5,14,1,4,1
252,12,male,27,1.5,yes,3,17,5,4,1
253,12,female,27,7,yes,4,14,6,2,1
274,3,female,42,15,yes,4,16,5,4,1
275,7,female,27,10,yes,4,12,7,3,1
287,1,male,27,1.5,no,2,18,5,2,1
288,1,male,32,4,no,4,20,6,4,1
325,1,female,27,7,yes,3,14,1,3,1
328,3,female,32,10,yes,4,14,1,4,1
344,3,male,27,4,yes,2,18,7,2,1
353,1,female,17.5,0.75,no,5,14,4,5,1
354,1,female,32,10,yes,4,18,1,5,1
367,7,female,32,7,yes,2,17,6,4,1
369,7,male,37,15,yes,2,20,6,4,1
390,7,female,37,10,no,1,20,5,3,1
392,12,female,32,10,yes,2,16,5,5,1
423,7,male,52,15,yes,2,20,6,4,1
432,7,female,42,15,yes,1,12,1,3,1
436,1,male,52,15,yes,2,20,6,3,1
483,2,male,37,15,yes,3,18,6,5,1
513,12,female,22,4,no,3,12,3,4,1
516,12,male,27,7,yes,1,18,6,2,1
518,1,male,27,4,yes,3,18,5,5,1
520,12,male,47,15,yes,4,17,6,5,1
526,12,female,42,15,yes,4,12,1,1,1
528,7,male,27,4,no,3,14,3,4,1
553,7,female,32,7,yes,4,18,4,5,1
576,1,male,32,0.417,yes,3,12,3,4,1
611,3,male,47,15,yes,5,16,5,4,1
625,12,male,37,15,yes,2,20,5,4,1
635,7,male,22,4,yes,2,17,6,4,1
646,1,male,27,4,no,2,14,4,5,1
657,7,female,52,15,yes,5,16,1,3,1
659,1,male,27,4,no,3,14,3,3,1
666,1,female,27,10,yes,4,16,1,4,1
679,1,male,32,7,yes,3,14,7,4,1
729,7,male,32,7,yes,2,18,4,1,1
755,3,male,22,1.5,no,1,14,3,2,1
758,7,male,22,4,yes,3,18,6,4,1
770,7,male,42,15,yes,4,20,6,4,1
786,2,female,57,15,yes,1,18,5,4,1
797,7,female,32,4,yes,3,18,5,2,1
811,1,male,27,4,yes,1,16,4,4,1
834,7,male,32,7,yes,4,16,1,4,1
858,2,male,57,15,yes,1,17,4,4,1
885,7,female,42,15,yes,4,14,5,2,1
893,7,male,37,10,yes,1,18,5,3,1
927,3,male,42,15,yes,3,17,6,1,1
928,1,female,52,15,yes,3,14,4,4,1
933,2,female,27,7,yes,3,17,5,3,1
951,12,male,32,7,yes,2,12,4,2,1
968,1,male,22,4,no,4,14,2,5,1
972,3,male,27,7,yes,3,18,6,4,1
975,12,female,37,15,yes,1,18,5,5,1
977,7,female,32,15,yes,3,17,1,3,1
981,7,female,27,7,no,2,17,5,5,1
986,1,female,32,7,yes,3,17,5,3,1
1002,1,male,32,1.5,yes,2,14,2,4,1
1007,12,female,42,15,yes,4,14,1,2,1
1011,7,male,32,10,yes,3,14,5,4,1
1035,7,male,37,4,yes,1,20,6,3,1
1050,1,female,27,4,yes,2,16,5,3,1
1056,12,female,42,15,yes,3,14,4,3,1
1057,1,male,27,10,yes,5,20,6,5,1
1075,12,male,37,10,yes,2,20,6,2,1
1080,12,female,27,7,yes,1,14,3,3,1
1125,3,female,27,7,yes,4,12,1,2,1
1131,3,male,32,10,yes,2,14,4,4,1
1138,12,female,17.5,0.75,yes,2,12,1,3,1
1150,12,female,32,15,yes,3,18,5,4,1
1163,2,female,22,7,no,4,14,4,3,1
1169,1,male,32,7,yes,4,20,6,5,1
1198,7,male,27,4,yes,2,18,6,2,1
1204,1,female,22,1.5,yes,5,14,5,3,1
1218,12,female,32,15,no,3,17,5,1,1
1230,12,female,42,15,yes,2,12,1,2,1
1236,7,male,42,15,yes,3,20,5,4,1
1247,12,male,32,10,no,2,18,4,2,1
1259,12,female,32,15,yes,3,9,1,1,1
1294,7,male,57,15,yes,5,20,4,5,1
1353,12,male,47,15,yes,4,20,6,4,1
1370,2,female,42,15,yes,2,17,6,3,1
1427,12,male,37,15,yes,3,17,6,3,1
1445,12,male,37,15,yes,5,17,5,2,1
1460,7,male,27,10,yes,2,20,6,4,1
1480,2,male,37,15,yes,2,16,5,4,1
1505,12,female,32,15,yes,1,14,5,2,1
1543,7,male,32,10,yes,3,17,6,3,1
1548,2,male,37,15,yes,4,18,5,1,1
1550,7,female,27,1.5,no,2,17,5,5,1
1561,3,female,47,15,yes,2,17,5,2,1
1564,12,male,37,15,yes,2,17,5,4,1
1573,12,female,27,4,no,2,14,5,5,1
1575,2,female,27,10,yes,4,14,1,5,1
1599,1,female,22,4,yes,3,16,1,3,1
1622,12,male,52,7,no,4,16,5,5,1
1629,2,female,27,4,yes,1,16,3,5,1
1664,7,female,37,15,yes,2,17,6,4,1
1669,2,female,27,4,no,1,17,3,1,1
1674,12,female,17.5,0.75,yes,2,12,3,5,1
1682,7,female,32,15,yes,5,18,5,4,1
1685,7,female,22,4,no,1,16,3,5,1
1697,2,male,32,4,yes,4,18,6,4,1
1716,1,female,22,1.5,yes,3,18,5,2,1
1730,3,female,42,15,yes,2,17,5,4,1
1731,1,male,32,7,yes,4,16,4,4,1
1732,12,male,37,15,no,3,14,6,2,1
1743,1,male,42,15,yes,3,16,6,3,1
1751,1,male,27,4,yes,1,18,5,4,1
1757,2,male,37,15,yes,4,20,7,3,1
1763,7,male,37,15,yes,3,20,6,4,1
1766,3,male,22,1.5,no,2,12,3,3,1
1772,3,male,32,4,yes,3,20,6,2,1
1776,2,male,32,15,yes,5,20,6,5,1
1782,12,female,52,15,yes,1,18,5,5,1
1784,12,male,47,15,no,1,18,6,5,1
1791,3,female,32,15,yes,4,16,4,4,1
1831,7,female,32,15,yes,3,14,3,2,1
1840,7,female,27,7,yes,4,16,1,2,1
1844,12,male,42,15,yes,3,18,6,2,1
1856,7,female,42,15,yes,2,14,3,2,1
1876,12,male,27,7,yes,2,17,5,4,1
1929,3,male,32,10,yes,4,14,4,3,1
1935,7,male,47,15,yes,3,16,4,2,1
1938,1,male,22,1.5,yes,1,12,2,5,1
1941,7,female,32,10,yes,2,18,5,4,1
1954,2,male,32,10,yes,2,17,6,5,1
1959,2,male,22,7,yes,3,18,6,2,1
9010,1,female,32,15,yes,3,14,1,5,1
